2023-06-17 06:13:34 install gpgsm:amd64 <none> 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 install gnupg:all <none> 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-installed gnupg:all 2.2.27-2+deb11u2
2023-06-17 06:13:34 status unpacked gnupg:all 2.2.27-2+deb11u2
2023-06-17 06:13:34 startup packages configure
2023-06-17 06:13:34 configure libassuan0:amd64 2.5.3-7.1 <none>
2023-06-17 06:13:34 status unpacked libassuan0:amd64 2.5.3-7.1
2023-06-17 06:13:34 status half-configured libassuan0:amd64 2.5.3-7.1
2023-06-17 06:13:34 status installed libassuan0:amd64 2.5.3-7.1
2023-06-17 06:13:34 configure gpgconf:amd64 2.2.27-2+deb11u2 <none>
2023-06-17 06:13:34 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-configured gpgconf:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status installed gpgconf:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 configure libksba8:amd64 1.5.0-3+deb11u2 <none>
2023-06-17 06:13:34 status unpacked libksba8:amd64 1.5.0-3+deb11u2
2023-06-17 06:13:34 status half-configured libksba8:amd64 1.5.0-3+deb11u2
2023-06-17 06:13:34 status installed libksba8:amd64 1.5.0-3+deb11u2
2023-06-17 06:13:34 configure libnpth0:amd64 1.6-3 <none>
2023-06-17 06:13:34 status unpacked libnpth0:amd64 1.6-3
2023-06-17 06:13:34 status half-configured libnpth0:amd64 1.6-3
2023-06-17 06:13:34 status installed libnpth0:amd64 1.6-3
2023-06-17 06:13:34 configure dirmngr:amd64 2.2.27-2+deb11u2 <none>
2023-06-17 06:13:34 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status half-configured dirmngr:amd64 2.2.27-2+deb11u2
2023-06-17 06:13:34 status installed dirmngr:amd64 2.2.27-2+deb11u2
